Name,Points,Assist%,Assists,block %,blocks,def rebounds %,def rebounds,EFG%,FGA,FG%,FG,FTA%,FTAs,FT%,FTs,Minutes,Off Rebounds%,Off Rebounds,Fouls,Steal%,Steals,3s attempt%,3s attempts,3s %,3s,total rebounds%,total rebounds,true shooting%,turnover%,turnovers,2s attempts,2s %,2s,usage,year,Appear_In_NBA
Lauri Markkanen,576,5.6,32,1.8,19,17.5,178,0.584,376,0.492,185,0.436,164,0.835,137,1140,10,88,73,0.8,15,0.434,163,0.423,69,14,266,0.635,8.1,40,213,0.545,116,22.5,2017,1
Kadeem Allen,617,21.3,222,2.6,48,13.2,223,0.514,451,0.459,207,0.468,211,0.725,153,1868,1.4,20,165,2.8,88,0.277,125,0.4,50,7.7,243,0.56,19.4,133,326,0.482,157,18.5,2017,1
Kobi Simmons,323,15.7,73,0.4,3,6.1,47,0.452,281,0.395,111,0.317,89,0.775,69,871,1.9,13,70,1.6,24,0.349,98,0.327,32,4.1,60,0.5,12.5,46,183,0.432,79,22,2017,1
Dusty Hannahs,1509,7.9,123,0.2,6,6,160,0.534,1139,0.428,487,0.29,330,0.888,293,3156,2.1,58,240,1.2,67,0.537,612,0.395,242,4,218,0.582,10.7,156,527,0.465,245,22.7,2017,1
Johnathan Motley,1229,11.9,132,5.6,122,17.5,373,0.525,923,0.519,479,0.429,396,0.654,259,2477,13.6,279,303,1.1,44,0.054,50,0.24,12,15.6,652,0.553,15.6,205,873,0.535,467,27,2017,1
James Jones,28,8.6,4,0,0,4.9,4,0.481,26,0.385,10,0.192,5,0.6,3,83,1.3,1,8,0,0,0.577,15,0.333,5,3.2,5,0.493,9.6,3,11,0.455,5,17.8,2017,1
Ivan Rabb,860,8.8,79,3.7,73,23.6,426,0.551,574,0.544,312,0.594,341,0.666,227,1987,10.9,188,201,1.2,39,0.038,22,0.409,9,17.4,614,0.584,13.9,119,552,0.549,303,21.9,2017,1
Jabari Bird,1227,9.2,132,1.1,35,10.5,284,0.534,1018,0.442,450,0.183,186,0.753,140,3013,3.5,90,197,1.2,58,0.495,504,0.371,187,7,374,0.555,11,137,514,0.512,263,21.3,2017,1
Troy Caupain,1317,25.7,515,0.9,32,12.3,421,0.467,1092,0.397,433,0.357,390,0.762,297,3981,2.1,69,200,2.4,151,0.417,455,0.338,154,7.2,490,0.516,14.8,222,637,0.438,279,19.8,2017,1
Jaron Blossomgame,1733,8.3,141,2.6,95,17.3,589,0.525,1286,0.488,627,0.411,529,0.724,383,3925,7.3,242,211,1.3,83,0.236,304,0.316,96,12.3,831,0.564,11,190,982,0.541,531,23.4,2017,1
Gian Clavell,1062,12.2,119,2.1,39,15.2,296,0.507,835,0.418,349,0.369,308,0.698,215,2169,3.3,65,151,2.6,94,0.493,412,0.362,149,9.3,361,0.541,10,109,423,0.473,200,25.4,2017,1
Derrick White,615,28.6,148,4.9,49,10.5,104,0.578,404,0.507,205,0.45,182,0.813,148,1116,3.5,35,72,2.2,42,0.356,144,0.396,57,7,139,0.627,14.2,81,260,0.569,148,25.3,2017,1
Rodney Purvis,1593,12.4,243,0.5,19,9.3,346,0.5,1367,0.416,568,0.259,354,0.638,226,4097,1.9,62,265,1.7,113,0.465,636,0.363,231,5.8,408,0.519,12.9,227,731,0.461,337,22.9,2017,1
Justin Patton,453,8.5,41,5.9,50,19,159,0.689,296,0.676,200,0.294,87,0.517,45,885,8,59,96,1.9,30,0.051,15,0.533,8,13.9,218,0.671,15.1,60,281,0.683,192,22,2017,1
Charles Cooke,1570,13.1,221,3.1,98,13.4,433,0.502,1166,0.434,506,0.487,568,0.702,399,3725,4.4,140,221,2.2,135,0.374,436,0.365,159,9,573,0.547,12.7,208,730,0.475,347,23.1,2017,1
Billy Garrett,1632,25.3,432,0.8,24,10,296,0.445,1199,0.386,463,0.56,672,0.841,565,3649,1.1,36,344,1.7,108,0.364,437,0.323,141,5.4,332,0.537,17.5,321,762,0.423,322,25.6,2017,1
Luke Kennard,1147,12.4,146,0.8,19,11.5,239,0.548,820,0.461,378,0.349,286,0.867,248,2275,4,78,152,1.7,65,0.455,373,0.383,143,7.9,317,0.6,8.3,87,447,0.526,235,22.9,2017,1
Jayson Tatum,488,12.4,62,3.2,33,19.7,174,0.507,365,0.452,165,0.381,139,0.849,118,966,4.8,39,86,2.3,39,0.321,117,0.342,40,12.6,213,0.566,15,76,248,0.504,125,26.2,2017,1
Frank Jackson,394,12.6,61,0.2,2,8.3,67,0.564,281,0.473,133,0.363,102,0.755,77,895,3.1,23,85,1.3,20,0.459,129,0.395,51,5.8,90,0.598,12.9,49,152,0.539,82,21.1,2017,1
Amile Jefferson,1079,7.7,142,3.9,137,19.9,583,0.62,687,0.62,426,0.575,395,0.575,227,3344,13,361,338,1.6,90,0,0,0,0,16.5,944,0.617,13.8,140,687,0.62,426,15.4,2017,1
Dwayne Bacon,1139,11,111,0.3,5,14.7,263,0.497,930,0.449,418,0.314,292,0.733,214,1987,4.7,81,128,1.9,68,0.306,285,0.312,89,9.8,344,0.533,11.9,145,645,0.51,329,29.1,2017,1
Jonathan Isaac,383,7.5,37,6.2,49,25.1,195,0.568,256,0.508,130,0.461,118,0.78,92,839,7.7,56,70,2.4,37,0.348,89,0.348,31,16.7,251,0.614,13.3,48,167,0.593,99,20.3,2017,1
Xavier Rathan-Mayes,1236,28.3,451,0.1,4,9.8,266,0.487,1014,0.424,430,0.369,374,0.666,249,3047,2,50,213,1.9,101,0.426,432,0.294,127,6,316,0.519,17.7,256,582,0.521,303,23.6,2017,1
Devin Robinson,935,5.4,63,2.7,63,16.9,362,0.518,742,0.45,334,0.315,234,0.714,167,2413,6.8,151,225,1.6,66,0.402,298,0.336,100,11.8,513,0.548,10.4,99,444,0.527,234,19.9,2017,1
Paul Watson,1361,5.8,116,2.6,92,13.6,471,0.496,1121,0.415,465,0.316,354,0.706,250,4014,3.6,125,373,1.6,106,0.446,500,0.362,181,8.7,596,0.528,13.5,202,621,0.457,284,19.4,2017,1
Tyler Cavanaugh,1724,10.1,155,1.2,40,18.4,561,0.51,1221,0.446,545,0.478,584,0.82,479,3502,7.5,226,357,0.9,53,0.342,417,0.372,155,13,787,0.575,14.6,257,804,0.485,390,25.6,2017,1
Nigel Williams-Goss,1536,29.4,496,0.4,13,13.7,440,0.504,1236,0.464,574,0.292,361,0.806,291,3415,2.4,69,191,2.3,133,0.237,293,0.331,97,8.4,509,0.546,15.5,258,943,0.506,477,24.7,2017,1
Zach Collins,390,4.4,16,9.8,69,23.3,164,0.676,207,0.652,135,0.715,148,0.743,110,673,12.1,66,105,1.5,18,0.101,21,0.476,10,18.4,230,0.703,17.8,60,186,0.672,125,24.8,2017,1
Damyean Dotson,1732,7.7,149,0.6,21,15.1,509,0.551,1390,0.464,645,0.18,250,0.796,199,3906,4.9,166,214,1.5,101,0.46,639,0.38,243,10,675,0.574,9.3,154,751,0.535,402,21.5,2017,1
Thomas Bryant,842,9,84,5,84,18,282,0.619,515,0.592,305,0.551,284,0.718,204,1745,10.4,146,203,1.4,43,0.146,75,0.373,28,14.4,428,0.648,17.3,136,440,0.63,277,22.1,2017,1
