Name,Points,Assists,FGA,FG,FTAs,FTs,Minutes,3s attempts,3s,turnovers,2s attempts,2s,usage,Appear_In_NBA,Year
JaMychal Green,1656,152,1184,614,598,425,3340,17,3,312,1167,611,27.4,Yes,2012
Tony Mitchell,1128,106,929,458,227,143,2549,229,69,125,700,389,23.8,Yes,2012
Carrick Felix,955,125,748,341,247,174,2626,304,99,162,444,242,21,Yes,2012
Solomon Hill,1430,304,1012,487,458,341,4030,307,115,290,705,372,19.7,Yes,2012
Nick Johnson,1333,304,1048,441,418,307,3339,401,144,197,647,297,22.7,Yes,2012
James White,863,78,706,357,240,146,2188,15,3,157,691,354,22.6,Yes,2012
Mitchell Anderson,602,70,575,231,164,97,1687,162,43,110,413,188,23.2,Yes,2012
Clay Johnson,148,82,106,52,66,42,1065,17,2,90,89,50,11.1,Yes,2012
Mo Williams,368,93,314,110,144,101,2002,163,47,103,151,63,12.3,Yes,2012
Pierre Jackson,1235,478,884,390,369,298,2424,414,157,256,470,233,27.1,Yes,2012
Quincy Acy,1360,86,835,503,496,351,3488,7,3,214,828,500,19.1,Yes,2012
Quincy Miller,393,53,309,138,114,93,903,69,24,66,240,114,23.9,Yes,2012
Anthony Jones,738,89,600,272,155,109,2653,247,85,129,353,187,15.2,Yes,2012
Cory Jefferson,1159,51,794,431,424,280,2589,50,17,101,744,414,21.4,Yes,2012
Ian Clark,1920,289,1406,681,269,218,3818,800,340,277,606,341,23.6,Yes,2012
Ryan Anderson,1787,151,1295,630,706,495,3906,120,32,235,1175,598,25.9,Yes,2012
Dee Brown,1041,193,874,375,249,188,2773,279,103,164,595,272,21.2,Yes,2012
Brandon Davies,1680,213,1166,609,691,456,3251,18,6,283,1148,603,26.4,Yes,2012
Mike Muscala,2036,211,1443,723,695,569,3815,67,21,217,1376,702,28.4,Yes,2012
Eddie Miller,650,88,552,233,162,113,1562,196,71,115,356,162,25.3,Yes,2012
Chris McNealy,1207,277,1062,439,278,198,3480,355,131,177,707,308,19.9,Yes,2012
Phil Martin,951,70,792,353,218,180,2005,184,65,146,608,288,27.5,Yes,2012
Robert Smith,846,293,818,288,244,165,2914,347,105,274,471,183,21.6,Yes,2012
Orlando Johnson,2208,319,1615,738,708,510,3878,568,222,324,1047,516,31.3,Yes,2012
James Nunnally,1685,247,1201,558,487,382,3618,484,187,276,717,371,25,Yes,2012
Alan Williams,1732,117,1295,637,649,458,3026,3,0,196,1292,637,32,Yes,2012
Allen Crabbe,1537,219,1195,533,320,262,3402,547,209,182,648,324,23.3,Yes,2012
Jorge Gutierrez,1232,423,959,412,438,323,3425,250,85,274,709,327,21.8,Yes,2012
Joe Harris,47,5,42,19,4,0,151,24,9,6,18,10,14.9,Yes,2012
Terrence Williams,972,228,857,326,372,265,2930,195,55,244,662,271,21.6,Yes,2012
Aaron Williams,240,29,279,91,60,36,936,95,22,73,184,69,20.2,Yes,2012
Sean Kilpatrick,2145,279,1687,707,536,418,4315,901,313,236,786,394,26,Yes,2012
Justin Jackson,770,166,633,322,267,124,2740,21,2,212,612,320,18.3,Yes,2012
Devin Booker,1154,99,897,445,368,242,3089,80,22,199,817,423,21.8,Yes,2012
Greg Smith,1051,133,839,356,391,282,2578,163,57,212,676,299,25.1,Yes,2012
Andre Roberson,1012,119,741,382,340,198,2970,143,50,183,598,332,19,Yes,2012
Spencer Dinwiddie,1115,227,690,290,506,420,2590,298,115,153,392,175,21.8,Yes,2012
Jeremy Lamb,1060,124,828,399,180,145,2406,336,117,120,492,282,22.2,Yes,2012
